Country,Website,Language(s)
Botswana,kfcbotswana.com,English
Ghana,web.archive.org/web/20220126171906/https://www.kfc.com.gh/home,English
Kenya,kfc.co.ke,English
Lesotho,kfclesotho.com,English
Mauritius,kfc.mu,English
Nigeria,food.jumia.com.ng/restaurants,Nigerian Pidgin/English
South Africa,kfc.co.za,English
Tanzania,web.archive.org/web/20180719235927/https://jfood.kfctz.co.tz/,English
