Country,Website,Language(s)
Australia,pizzahut.com.au,English
Guam,locations.pizzahut.com/gu,English
New Zealand,pizzahut.co.nz,English
Northern Mariana Islands,locations.pizzahut.com/mp/saipan/gualo-rai-commercial-center/delivery,English
