Country,Website,Language(s)
Cameroon,pizzahutcm.com,French/English
Egypt,egypt.pizzahut.me,Arabic/English
Ghana,pizzahutghana.com,English
Mauritius,pizzahut.mu,English
Morocco,pizzahutmaroc.ma,French
Nigeria,pizzahut.ng,English
South Africa,pizzahut.co.nz,English
Tanzania,pizzahut.co.tz,English
Tunisia,pizzahuttunisia.com,French
Uganda,pizza.ug,English
