Country,Website,Language(s)
Australia,hungryjacks.com.au,English
East Timor,burgerkingtimorleste.com,English
Fiji,burgerkingfiji.com,English
New Caledonia,burgerking.nc,French
New Zealand,burgerking.co.nz,English
