Country,Website,Language(s)
Bangladesh,burgerkingbangladesh.com,English
Brunei,burgerking.com.bn,English
China,bkchina.cn,Chinese
India,burgerking.in,English
Israel,burgerking.co.il,Hebrew
Japan,burgerking.co.jp,Japanese
Lebanon,bklebanon.com,English
Malaysia,burgerking.com.my,English
Singapore,burgerking.com.sg,English
South Korea,burgerking.co.kr,Korean
Taiwan,burgerking.com.tw,Chinese
Thailand,burgerking.co.th,Thai/English
Vietnam,burgerking.vn,Vietnamese/English
