Country,Website,Language(s)
Cyprus,tacobell.com.cy,English
Finland,tacobell.fi,Finnish/English
Portugal,tacobell.pt,Portuguese
Romania,taco-bell.ro,Romanian/English
Spain,tacobell.es,Spanish/Catalan/English
United Kingdom,tacobell.co.uk,English
