Country,Website,Language(s)
Egypt,dominos.com.eg,Arabic/English
Ghana,dominos.com.gh,English
Kenya,dominos.co.ke,English
Mauritius,dominos.mu,French/English
Morocco,dominos.ma,Arabic/French/English
Nigeria,dominos.ng,English
South Africa,https://web.archive.org/web/20200119020355/http://www.dominospizza.co.za/,English
