Country,Website,Language(s)
Australia,oporto.com.au,English
China,https://web.archive.org/web/20110426090428/http://www.oporto.com.cn/,Chinese
New Zealand,oporto.co.nz,English
United Kingdom,https://web.archive.org/web/20110120090340/http://www.oporto.co.uk/,English
Vietnam,https://web.archive.org/web/20191115232718/http://oporto.com.vn/,Vietnamese/English
